                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4957,                 2.9269,                  1.429,                 1.3842,                 3.3254,                 1.3208,                0.01866,                0.42448,                0.05537,                0.02992,                 1.1487,                 3.3902,                 1.1655,                 1.0668,                 3.8535,                 1.1119,             0.00036192,             0.00036192,             0.00036192
                      2,                 1.2827,                 1.5257,                 1.2958,                 1.2152,                 2.2282,                 1.1974,                0.38517,                0.28858,                0.16867,                0.09535,                 1.1896,                 2.8302,                 1.2262,                 1.1082,                 3.4056,                 1.1518,             0.00072863,             0.00072863,             0.00072863
                      3,                 1.2276,                 1.3423,                 1.2535,                 1.2285,                 1.9756,                  1.196,                0.26803,                0.20071,                0.15224,                0.08121,                 1.2628,                 2.3617,                  1.264,                 1.2212,                  2.898,                 1.2105,              0.0010917,              0.0010917,              0.0010917
                      4,                 1.2116,                 1.2907,                 1.2314,                 1.2332,                 1.7939,                 1.1871,                0.30131,                0.35851,                0.24502,                0.12978,                 1.2298,                 2.1626,                  1.303,                 1.1965,                 2.4097,                 1.2339,              0.0010945,              0.0010945,              0.0010945
                      5,                 1.1825,                 1.2357,                 1.2141,                 1.2215,                 1.6502,                 1.1838,                0.27758,                0.30536,                0.17791,                0.08565,                 1.3514,                  2.846,                 1.3708,                 1.3474,                 3.0747,                 1.3055,              0.0010945,              0.0010945,              0.0010945
                      6,                 1.1564,                 1.1791,                 1.1997,                 1.2133,                 1.5327,                 1.1765,                0.31189,                0.34018,                0.22649,                0.12136,                 1.1339,                 2.3128,                 1.2202,                 1.1606,                 2.5838,                 1.1867,               0.001089,               0.001089,               0.001089
                      7,                 1.1388,                 1.1475,                 1.1815,                 1.2027,                 1.4628,                 1.1663,                0.36067,                0.39968,                0.27179,                0.13611,                 1.2001,                 2.4458,                 1.2165,                 1.2397,                 2.6532,                 1.1915,              0.0010835,              0.0010835,              0.0010835
                      8,                 1.1291,                 1.1185,                 1.1756,                 1.1936,                 1.4073,                 1.1621,                0.37454,                0.36242,                0.26964,                0.14798,                 1.0952,                 2.2962,                 1.1695,                 1.1369,                 2.5123,                 1.1528,               0.001078,               0.001078,               0.001078
                      9,                 1.1269,                 1.1182,                 1.1743,                 1.2009,                 1.3916,                 1.1643,                0.36475,                0.32356,                0.23583,                0.12067,                 1.1959,                  2.459,                 1.2491,                 1.2459,                 2.7682,                 1.2227,              0.0010725,              0.0010725,              0.0010725
                     10,                 1.1112,                 1.1001,                 1.1664,                 1.1858,                 1.3534,                 1.1569,                0.41041,                 0.4448,                0.32843,                0.17749,                 1.0894,                 2.1939,                  1.161,                  1.127,                 2.3628,                 1.1428,               0.001067,               0.001067,               0.001067
