                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4794,                 2.9194,                 1.4165,                 1.3733,                 3.2993,                 1.3106,                0.02058,                0.48985,                0.07356,                0.04025,                 1.1352,                 3.3301,                  1.158,                 1.0261,                 3.7947,                 1.1062,             0.00036192,             0.00036192,             0.00036192
                      2,                 1.2622,                 1.4978,                 1.2819,                 1.1987,                 2.2028,                 1.1883,                0.30586,                0.27659,                0.12138,                0.06239,                 1.3261,                 2.7896,                 1.3302,                 1.1997,                 3.4521,                 1.2312,             0.00072863,             0.00072863,             0.00072863
                      3,                 1.2087,                  1.312,                 1.2329,                  1.215,                  1.939,                 1.1783,                0.33165,                0.31508,                0.21971,                0.10684,                  1.287,                 2.2254,                 1.2845,                 1.2005,                 2.6952,                 1.1902,              0.0010917,              0.0010917,              0.0010917
                      4,                 1.1935,                 1.2533,                 1.2151,                 1.2173,                 1.7614,                  1.176,                0.27281,                0.34911,                0.19794,                0.09941,                 1.2439,                 2.4415,                 1.3093,                 1.2179,                 2.6779,                 1.2522,              0.0010945,              0.0010945,              0.0010945
                      5,                 1.1614,                 1.2061,                 1.1993,                 1.2059,                 1.6202,                 1.1715,                0.26268,                0.29645,                0.16865,                0.08584,                 1.3003,                 2.4751,                 1.3079,                 1.2976,                 2.8272,                 1.2624,              0.0010945,              0.0010945,              0.0010945
                      6,                 1.1462,                 1.1547,                 1.1889,                 1.2076,                 1.5005,                 1.1686,                0.32184,                0.33788,                0.22804,                 0.1112,                 1.2465,                   2.37,                 1.2882,                 1.2638,                 2.5852,                 1.2521,               0.001089,               0.001089,               0.001089
                      7,                 1.1324,                 1.1308,                 1.1779,                 1.1986,                 1.4371,                 1.1576,                0.34491,                0.38397,                 0.2505,                0.13032,                 1.1318,                 2.5876,                 1.2061,                  1.136,                 2.7879,                 1.1617,              0.0010835,              0.0010835,              0.0010835
                      8,                 1.1114,                 1.0783,                 1.1628,                 1.1828,                 1.3559,                 1.1484,                0.33223,                 0.3819,                0.25284,                0.13528,                 1.1494,                 2.4528,                 1.1792,                 1.1612,                 2.6214,                 1.1446,               0.001078,               0.001078,               0.001078
                      9,                 1.1156,                 1.0886,                 1.1665,                 1.1951,                 1.3505,                 1.1544,                0.29853,                0.34287,                0.24594,                0.12657,                   1.24,                  2.275,                 1.2758,                 1.2505,                 2.4168,                 1.2393,              0.0010725,              0.0010725,              0.0010725
                     10,                 1.0935,                 1.0649,                 1.1552,                 1.1749,                 1.3141,                 1.1445,                0.28769,                0.39463,                 0.2533,                0.13404,                 1.1383,                 2.8423,                  1.209,                 1.1481,                 3.0272,                 1.1795,               0.001067,               0.001067,               0.001067
                     11,                 1.0824,                 1.0275,                 1.1474,                 1.1665,                 1.2592,                 1.1413,                0.40461,                0.31465,                0.23577,                0.12114,                  1.197,                  2.911,                 1.2117,                 1.2193,                 2.9015,                 1.1916,              0.0010615,              0.0010615,              0.0010615
                     12,                  1.066,                 1.0057,                 1.1344,                 1.1529,                 1.2252,                 1.1245,                0.36614,                0.41363,                 0.2966,                0.15835,                 1.1628,                 2.6163,                 1.2147,                 1.1682,                 2.7267,                 1.1821,               0.001056,               0.001056,               0.001056
                     13,                 1.0586,                0.99653,                  1.133,                 1.1447,                 1.2071,                 1.1296,                0.36738,                0.43017,                0.28435,                0.14525,                 1.1517,                 2.8848,                 1.2122,                 1.1702,                 3.0345,                 1.1836,              0.0010505,              0.0010505,              0.0010505
                     14,                 1.0617,                0.98023,                 1.1317,                 1.1507,                 1.1819,                 1.1278,                0.36463,                0.40227,                0.28165,                0.14758,                 1.1751,                 2.3627,                 1.2026,                 1.1954,                 2.4478,                 1.1722,               0.001045,               0.001045,               0.001045
                     15,                 1.0582,                0.97729,                 1.1293,                 1.1518,                 1.1831,                   1.13,                 0.3745,                0.43687,                0.30324,                 0.1616,                 1.1275,                  2.324,                 1.1923,                 1.1382,                 2.4618,                 1.1656,              0.0010395,              0.0010395,              0.0010395
                     16,                 1.0449,                0.95363,                 1.1201,                 1.1369,                 1.1565,                 1.1226,                0.33302,                0.41103,                0.27399,                0.13963,                 1.1585,                 2.9478,                 1.2173,                 1.1728,                  2.949,                 1.1823,               0.001034,               0.001034,               0.001034
                     17,                 1.0365,                 0.9499,                 1.1187,                 1.1332,                 1.1497,                 1.1245,                0.41637,                0.39886,                0.31809,                 0.1631,                 1.1926,                   2.29,                 1.2067,                 1.2371,                 2.4122,                 1.1945,              0.0010285,              0.0010285,              0.0010285
                     18,                 1.0327,                0.93288,                 1.1114,                 1.1364,                 1.1207,                 1.1147,                0.40947,                0.39313,                0.28473,                0.15118,                 1.1611,                 2.4535,                 1.1729,                  1.172,                   2.57,                 1.1555,               0.001023,               0.001023,               0.001023
                     19,                 1.0281,                0.91983,                   1.11,                 1.1252,                 1.0932,                  1.111,                0.41057,                0.39922,                0.32659,                0.17454,                 1.1778,                  2.231,                 1.1803,                 1.1907,                 2.3041,                 1.1535,              0.0010175,              0.0010175,              0.0010175
                     20,                  1.024,                0.90236,                 1.1067,                 1.1208,                 1.0807,                 1.1089,                0.40632,                 0.4038,                0.31315,                0.15657,                 1.2705,                  2.367,                  1.235,                 1.2774,                 2.4766,                 1.2011,               0.001012,               0.001012,               0.001012
                     21,                 1.0232,                0.90605,                 1.1082,                  1.126,                 1.0896,                 1.1129,                0.41645,                0.43216,                0.32515,                0.16462,                 1.1399,                 2.5989,                 1.1748,                  1.168,                 2.5858,                 1.1546,              0.0010065,              0.0010065,              0.0010065
                     22,                 1.0142,                0.88801,                 1.1017,                 1.1146,                 1.0573,                  1.107,                0.38522,                0.44612,                0.31232,                 0.1644,                 1.1501,                 2.4822,                 1.1985,                 1.1696,                 2.6139,                 1.1701,               0.001001,               0.001001,               0.001001
