                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0494,                0.92852,                  1.121,                  1.152,                 1.1285,                 1.1291,                0.53096,                0.57736,                0.52953,                0.32286,                 1.1373,                 1.2569,                 1.1975,                 1.1708,                 1.4025,                  1.178,             0.00099001,             0.00099001,             0.00099001
                     25,                 1.0387,                0.90555,                 1.1128,                 1.1401,                 1.0904,                 1.1194,                0.52984,                0.57232,                0.52935,                0.31698,                  1.154,                 1.3132,                 1.2163,                 1.1914,                 1.4881,                 1.1979,             0.00098451,             0.00098451,             0.00098451
                     26,                 1.0581,                  0.929,                 1.1229,                 1.1539,                 1.1184,                 1.1299,                 0.5743,                0.56156,                0.56056,                0.34174,                 1.0897,                 1.2441,                  1.184,                 1.1284,                 1.3828,                 1.1685,             0.00097901,             0.00097901,             0.00097901
                     27,                 1.0438,                0.91629,                 1.1158,                 1.1489,                 1.1016,                 1.1259,                0.52856,                0.59202,                0.53963,                0.32301,                 1.1469,                 1.2921,                 1.2016,                 1.1868,                 1.4321,                 1.1837,             0.00097351,             0.00097351,             0.00097351
                     28,                 1.0295,                 0.8895,                  1.106,                 1.1353,                 1.0704,                 1.1142,                0.55447,                0.57724,                0.55495,                0.33899,                 1.1175,                 1.1798,                  1.189,                 1.1586,                 1.3153,                 1.1677,             0.00096801,             0.00096801,             0.00096801
                     29,                 1.0349,                 0.8862,                 1.1077,                  1.143,                 1.0651,                 1.1182,                 0.5785,                 0.5663,                0.56265,                0.33676,                 1.1164,                 1.3177,                 1.1952,                 1.1532,                 1.4908,                 1.1814,             0.00096251,             0.00096251,             0.00096251
                     30,                  1.015,                0.88045,                 1.0966,                 1.1193,                 1.0481,                 1.1067,                0.56282,                0.56773,                0.54757,                0.32912,                 1.1229,                 1.2862,                 1.2061,                 1.1654,                 1.4503,                 1.1924,             0.00095702,             0.00095702,             0.00095702
                     31,                 1.0297,                0.88019,                 1.1065,                 1.1347,                 1.0618,                 1.1144,                0.57067,                0.62664,                0.58466,                0.34619,                 1.1166,                 1.2198,                 1.1969,                 1.1572,                 1.3476,                   1.18,             0.00095152,             0.00095152,             0.00095152
                     32,                 1.0223,                0.87306,                 1.0994,                 1.1303,                 1.0476,                 1.1094,                0.58914,                0.61326,                0.59251,                0.35649,                 1.0862,                 1.1962,                 1.1867,                 1.1284,                  1.355,                  1.172,             0.00094602,             0.00094602,             0.00094602
                     33,                 1.0164,                0.86737,                 1.1005,                 1.1209,                 1.0352,                 1.1062,                0.57724,                0.64052,                0.60465,                0.36831,                 1.0956,                 1.2112,                 1.1932,                 1.1406,                  1.367,                 1.1739,             0.00094052,             0.00094052,             0.00094052
                     34,                 1.0078,                0.84322,                 1.0941,                 1.1146,                 1.0111,                  1.101,                0.56176,                0.60127,                0.57204,                0.34601,                  1.099,                 1.2295,                 1.1965,                 1.1486,                 1.3824,                 1.1825,             0.00093502,             0.00093502,             0.00093502
                     35,                 1.0065,                0.83424,                 1.0928,                 1.1107,                0.99849,                 1.1014,                0.57646,                0.60147,                0.57636,                0.35258,                 1.1055,                 1.2172,                 1.1904,                 1.1477,                 1.3796,                 1.1761,             0.00092952,             0.00092952,             0.00092952
